ID;Фильм;Страна;Год;Жанр
0;Побег из Шоушенка;США;1994;драма
1;Зелёная миля;США;1999;фэнтэзи, драма, криминал
2;Форрест Гамп;США;1994;драма, мелодрама
3;Список Шиндлера;США;1993;драма, биография, история
4;1+1;Франция;2011;драма, комедия, биография
5;Леон;Франция;1994;триллер, драма, криминал
6;Начало;США, Великобритания;2010;фантастика, боевик, триллер
7;Король Лев;США;1994;мультфильм, мюзикл, драма
8;Бойцовский клуб;США, Германия;1999;триллер, драма, криминал
9;Иван Васильевич меняет профессию;СССР;1973;фантастика, комедия, приключения
10;Жизнь прекрасна;Италия;1997;драма, комедия, военный
11;Достучаться до небес;Германия;1997;драма, комедия, криминал
12;Крестный отец;США;1972;драма, криминал
13;Криминальное чтиво;США;1994;триллер, комедия, криминал
14;Престиж;США, Великобритания;2006;фантастика, триллер, драма
15;Игры разума;США;2001;драма, биография, мелодрама
16;Операция «Ы» и другие приключения Шурика;СССР;1965;мелодрама, комедия, криминал
17;Гладиатор;США, Великобритания;2000;боевик, драма, приключения
18;Интерстеллар;США, Великобритания;2014;фантастика, драма, приключения
19;Властелин колец: Возвращение Короля;США, Новая Зеландия;2003;фэнтэзи, драма, приключения
20;Назад в будущее;США;1985;фантастика, комедия, приключения
21;Карты, деньги, два ствола;Великобритания;1998;комедия, криминал
22;Бриллиантовая рука;СССР;1968;комедия, криминал, приключения
23;Матрица;США;1999;фантастика, боевик
24;Поймай меня, если сможешь;США, Канада;2002;драма, криминал, биография
25;Отступники;США, Гонконг;2006;триллер, драма, криминал
26;Пианист;Польша, Франция, Великобритания;2002;драма, военный, биография
27;В бой идут одни «старики»;СССР;1973;драма, комедия, военный
28;Тайна Коко;США;2017;мультфильм, фэнтэзи, комедия
29;Властелин колец: Братство кольца;США, Новая Зеландия;2001;фэнтэзи, драма, приключения
30;ВАЛЛ·И;США;2008;мультфильм, фантастика, приключения
31;Большой куш;Великобритания, США;2000;криминал, комедия, боевик
32;Властелин колец: Две крепости;США, Новая Зеландия;2002;фэнтэзи, драма, приключения
33;Американская история X;США;1998;драма, криминал
34;Джентльмены удачи;СССР;1971;драма, комедия, криминал
35;Пираты Карибского моря: Проклятие Черной жемчужины;США;2003;фэнтэзи, боевик, приключения
36;Остров проклятых;США;2009;триллер, детектив, драма
37;Пролетая над гнездом кукушки;США;1975;драма
38;Темный рыцарь;США, Великобритания;2008;фантастика, боевик, триллер
39;Титаник;США;1997;драма, мелодрама
40;12 разгневанных мужчин;США;1956;драма, криминал
41;Запах женщины;США;1992;драма
42;Пробуждение;США;1990;драма, биография
43;В джазе только девушки;США;1959;мелодрама, комедия, криминал
44;Хатико: Самый верный друг;Великобритания, США;2008;драма, семейный
45;Эта замечательная жизнь;США;1947;фэнтэзи, драма, семейный
46;Огни большого города;США;1931;драма, мелодрама, комедия
47;Хороший, плохой, злой;Италия, Испания, ФРГ;1966;вестерн
48;Унесенные призраками;Япония;2001;аниме, мультфильм, фэнтези
49;…А зори здесь тихие;СССР;1972;драма, военный, история
50;Хористы;Франция, Швейцария, Германия;2004;драма, музыка
51;Кавказская пленница, или Новые приключения Шурика;СССР;1966;комедия, мелодрама, приключения
52;Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей;СССР;1981;криминал, детектив
53;Семь;США;1995;триллер, драма, криминал
54;Молчание ягнят;США;1990;триллер, криминал, детектив
55;Шоу Трумана;США;1998;фантастика, драма, комедия
56;Как приручить дракона;США;2010;мультфильм, фэнтэзи, комедия
57;Джанго освобождённый;США;2012;драма, вестерн, приключения
58;Терминатор 2: Судный день;США, Франция;1991;фантастика, боевик, триллер
59;Крестный отец 2;США;1974;драма, криминал
60;Нокдаун;США;2005;драма, биография, спорт
61;Собачье сердце;СССР;1988;фантастика, драма, комедия
62;Игра;США;1997;триллер, драма, детектив
63;Храброе сердце;США;1995;драма, военный, биография
64;Москва слезам не верит;СССР;1979;драма, мелодрама, комедия
65;Одержимость;США;2013;драма, музыка
